City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,warmbad,-28.45,18.7333,31.16,9,0,8.74,NA,1702314524
242,trairi,-3.2778,-39.2689,31.18,53,69,6.84,BR,1702314310
243,brookings,44.3114,-96.7984,0.61,88,0,4.12,US,1702314304
244,kuta,-8.7233,115.1723,27.97,83,20,4.63,ID,1702314525
245,qaqortoq,60.7167,-46.0333,-2.12,93,100,8.31,GL,1702314525
246,kruisfontein,-34.0033,24.7314,19.55,64,0,2.13,ZA,1702314525
247,at-bashi,41.1702,75.8106,-8.13,79,83,0.75,KG,1702314525
248,khor,47.8861,134.9464,-26.81,93,8,3.63,RU,1702314525
249,siteki,-26.45,31.95,17.64,98,100,1.29,SZ,1702314525
250,kachug,53.9606,105.8817,-34.42,100,15,0.45,RU,1702314525
251,howrah,22.5892,88.3103,19.0,72,0,0.0,IN,1702314526
252,hohhot,40.8106,111.6522,-6.14,86,53,0.83,CN,1702314492
253,north bend,43.4065,-124.2243,12.37,93,100,4.63,US,1702314526
254,poronaysk,49.2167,143.1167,-15.99,79,15,3.44,RU,1702314527
255,moires,35.0532,24.8744,15.07,78,45,0.89,GR,1702314527
256,emerald,-23.5333,148.1667,23.52,67,100,5.9,AU,1702314527
257,karratha,-20.7377,116.8463,25.74,45,0,4.35,AU,1702314527
258,mil'kovo,55.6078,37.7956,-6.48,94,100,7.07,RU,1702314527
259,xichang,27.8964,102.2634,8.81,79,1,0.95,CN,1702314527
260,pangody,65.85,74.4859,-26.06,89,100,5.46,RU,1702314528
261,santa marinella,42.0345,11.8536,15.39,91,100,7.14,IT,1702314528
262,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702314528
263,yaritagua,10.08,-69.1261,31.86,45,57,2.93,VE,1702314528
264,bamboo flat,11.7,92.7167,27.1,82,39,3.9,IN,1702314528
265,gabarin,11.1093,10.4441,23.36,17,30,4.06,NG,1702314528
266,gulf shores,30.246,-87.7008,12.25,54,0,3.09,US,1702314528
267,la'ie,21.6477,-157.9253,24.5,87,33,1.79,US,1702314529
268,yaring,6.8662,101.3689,26.19,84,37,3.7,TH,1702314529
269,enoch,37.7733,-113.0244,1.14,60,0,1.54,US,1702314529
270,warmbaths,-24.8833,28.2833,21.28,70,91,6.17,ZA,1702314529
271,aleksandrovsk,59.158,57.5624,-27.33,75,100,1.81,RU,1702314529
272,hilo,19.7297,-155.09,22.57,98,100,2.68,US,1702314512
273,naha,26.2125,127.6811,24.15,88,75,4.12,JP,1702314529
274,mugia,43.1041,-9.2179,17.73,92,100,11.81,ES,1702314530
275,villa union,23.2,-106.2333,27.17,69,0,0.0,MX,1702314530
276,chihuahua,28.5,-106.0,8.46,21,0,2.31,MX,1702314530
277,margate,51.3813,1.3862,9.27,76,23,0.89,GB,1702314530
278,harstad,68.799,16.5293,-1.03,94,84,1.92,NO,1702314530
279,san andres,12.5847,-81.7006,31.01,74,20,5.66,CO,1702314341
280,puerto aysen,-45.4,-72.7,14.44,72,58,2.66,CL,1702314531
281,gadzhiyevo,69.2551,33.3362,-12.9,90,92,7.34,RU,1702314531
282,udaipura,23.0833,78.5,17.91,56,8,0.99,IN,1702314531
283,chicomuselo,15.7667,-92.2667,22.48,80,97,1.23,MX,1702314531
284,arkhangel'sk,64.5401,40.5433,-14.93,81,75,3.0,RU,1702314532
285,lospalos,-8.5186,127.0025,23.52,92,100,1.5,TL,1702314532
286,conceicao do araguaia,-8.2578,-49.2647,29.57,60,100,0.68,BR,1702314532
287,gadhada,21.9667,71.5667,21.96,27,43,3.77,IN,1702314532
288,djamaa,33.5339,5.9931,19.33,39,0,1.53,DZ,1702314532
289,paracuru,-3.41,-39.0306,28.95,54,60,6.82,BR,1702314532
290,chifeng,42.2683,118.9636,-14.83,65,25,0.51,CN,1702314533
291,quellon,-43.1167,-73.6167,11.57,94,100,0.4,CL,1702314533
